iter	RMSE
299	1.751875237
300	1.749844783
301	1.748099843
302	1.747417826
303	1.742424222
304	1.741404451
305	1.740764689
306	1.736772473
307	1.73106159
308	1.728979809
309	1.724166096
310	1.718604204
311	1.717178148
312	1.712137152
313	1.710187094
314	1.708889656
315	1.707882129
316	1.703543494
317	1.698115997
318	1.694266542
319	1.690060349
320	1.685843883
321	1.679682172
322	1.674291621
323	1.67243469
324	1.670732946
325	1.66907587
326	1.667760743
327	1.667204164
328	1.665599814
329	1.664560423
330	1.66185751
331	1.661244479
332	1.657513829
333	1.653735912
334	1.649979181
335	1.644144903
336	1.640237697
337	1.636596487
338	1.63401066
339	1.629039263
340	1.6246779
341	1.620656765
342	1.61827303
343	1.613140005
344	1.609675281
345	1.608404319
346	1.607168404
347	1.606343097
348	1.599625812
349	1.595160205
350	1.591099832
351	1.586997306
352	1.586414823
353	1.581607474
354	1.577505248
355	1.572290516
356	1.569060648
357	1.568365162
358	1.567749029
359	1.563843341
360	1.561010721
361	1.557310985
362	1.556675174
363	1.553538111
364	1.552419871
365	1.551074843
366	1.550271886
367	1.547861859
368	1.546133062
369	1.545174562
370	1.544494227
371	1.543809609
372	1.540047989
373	1.537104319
374	1.534456531
375	1.529923725
376	1.529509127
377	1.526098527
378	1.52391151
379	1.523454605
380	1.522868847
381	1.520146243
382	1.51562123
383	1.512240025
384	1.508327963
385	1.505600733
386	1.502368103
387	1.498014757
388	1.492970092
389	1.492000839
390	1.487077132
391	1.484346527
392	1.48375198
393	1.479313668
394	1.47636458
395	1.473271613
396	1.472742908
397	1.467979359
398	1.463446249
399	1.46016655
400	1.455155168
401	1.452165794
402	1.451450772
403	1.446716294
404	1.443848385
405	1.440087658
406	1.437583491
407	1.436481407
408	1.433258337
409	1.429667869
410	1.42869603
411	1.426253627
412	1.425653944
413	1.423682227
414	1.420198955
415	1.419495363
416	1.416482011
417	1.411956342
418	1.410004393
419	1.407320142
420	1.406864493
421	1.402158065
422	1.399156359
423	1.394451196
424	1.390273638
425	1.387046867
426	1.384447532
427	1.381614501
428	1.377686634
429	1.375280765
430	1.373000343
431	1.37087883
432	1.368564998
433	1.366022066
434	1.36402954
435	1.360815533
436	1.358848261
437	1.355134021
438	1.353229961
439	1.350733067
440	1.348855489
441	1.345849368
442	1.344303866
443	1.341915879
444	1.338275801
445	1.334096046
446	1.330980629
447	1.327839055
448	1.32621327
449	1.323109962
450	1.320506202
451	1.319928906
452	1.31715865
453	1.315254416
454	1.312676685
455	1.310714836
456	1.309151478
457	1.305631297
458	1.303529559
459	1.302911384
460	1.300718663
461	1.298895295
462	1.296877422
463	1.294481886
464	1.292416047
465	1.290179257
466	1.287995541
467	1.286233275
468	1.284942351
469	1.284478204
470	1.282608404
471	1.279092343
472	1.278579815
473	1.277342792
474	1.275605515
475	1.273359154
476	1.269625844
477	1.267112621
478	1.264161874
479	1.26120696
480	1.258935208
481	1.257255995
482	1.256762119
483	1.256345664
484	1.255952825
485	1.254378886
486	1.25174292
487	1.25022039
488	1.2467089
489	1.246235326
490	1.241866413
491	1.238096208
492	1.235245765
493	1.234749148
494	1.231815216
495	1.231270398
496	1.229668925
497	1.229200518
498	1.227080038
499	1.223903577
500	1.222678079
501	1.219667516
502	1.217363039
503	1.215631106
504	1.213768328
505	1.211970507
506	1.209139507
507	1.207548295
508	1.206682374
509	1.20415471
510	1.203441016
511	1.200619985
512	1.197274177
513	1.194548945
514	1.192812897
515	1.192386932
516	1.191970381
517	1.191508809
518	1.190001113
519	1.188786045
520	1.186522534
521	1.184298505
522	1.182894047
523	1.180481104
524	1.178461154
525	1.1751001
526	1.17332201
527	1.172221965
528	1.169851138
529	1.168558415
530	1.16664178
531	1.164435047
532	1.161921834
533	1.161208821
534	1.15934387
535	1.156785163
536	1.156114859
537	1.154624941
538	1.152363021
539	1.150319376
540	1.148756284
541	1.148308814
542	1.145113428
543	1.143320088
544	1.140595931
545	1.13925031
546	1.137970136
547	1.135894639
548	1.132453537
549	1.129988261
550	1.127855558
551	1.126674529
552	1.126193214
553	1.123636269
554	1.120140202
555	1.117640224
556	1.115256664
557	1.112331469
558	1.109641375
559	1.108247673
560	1.105645944
561	1.103609926
562	1.100279572
563	1.098761481
564	1.097280826
565	1.094749666
566	1.092469571
567	1.088625838
568	1.086076174
569	1.084331063
570	1.08198638
571	1.079492131
572	1.076952207
573	1.075814706
574	1.074427626
575	1.071346567
576	1.068376125
577	1.065949158
578	1.063712359
579	1.061014599
580	1.058101374
581	1.055373025
582	1.054015651
583	1.052743854
584	1.05152499
585	1.049410657
586	1.047521284
587	1.044302815
588	1.041745089
589	1.040140055
590	1.038113598
591	1.036341048
592	1.034234162
593	1.033202837
594	1.032096504
595	1.029354418
596	1.027842073
597	1.023959771
598	1.021987422
599	1.019032504
600	1.017106657
601	1.015826613
602	1.014372074
603	1.011577463
604	1.009335378
605	1.00909165
606	1.006882843
607	1.004177262
608	1.001718495
609	1.000230784
610	0.9972861815
611	0.9959199018
612	0.9938650214
613	0.9924255099
614	0.9903103505
615	0.9882179847
616	0.9864657226
617	0.984035389
618	0.9827241159
619	0.9820154626
620	0.9803029612
621	0.9778363811
622	0.9762429979
623	0.9749317454
624	0.9731490372
625	0.971084109
626	0.9700892811
627	0.9680970472
628	0.96645605
629	0.9643650923
630	0.9635015807
631	0.9623430837
632	0.9605730745
633	0.9582644586
634	0.9561230141
635	0.9546047842
636	0.9537502867
637	0.9523167075
638	0.9495139941
639	0.9484617501
640	0.946572142
641	0.9448423286
642	0.9429770875
643	0.9410332969
644	0.9391635185
645	0.937104254
646	0.9351574469
647	0.9331296775
648	0.931154311
649	0.9288349992
650	0.9262367271
651	0.9251333369
652	0.9234637251
653	0.9218668546
654	0.9189972101
655	0.9179943699
656	0.9158946291
657	0.9138180601
658	0.9124661914
659	0.9106549299
660	0.9095591302
661	0.9079872999
662	0.9065816257
663	0.9055303072
664	0.9031383981
665	0.9010539398
666	0.9002467321
667	0.8982309304
668	0.8972624686
669	0.895933122
670	0.8948832177
671	0.8934237133
672	0.8925078499
673	0.8913542654
674	0.8901129735
675	0.887092597
676	0.8852218094
677	0.8835812489
678	0.8815721503
679	0.87960401
680	0.8777294905
681	0.8771019048
682	0.8754390618
683	0.8740198108
684	0.872264457
685	0.8701088077
686	0.8688102886
687	0.8666119089
688	0.8653217223
689	0.8632812679
690	0.8622512321
691	0.8617652514
692	0.8604993881
693	0.8582477473
694	0.8563016923
695	0.8558513703
696	0.8550283073
697	0.8532166723
698	0.8503645589
699	0.848895836
700	0.8467665357
701	0.844902764
702	0.8434108003
703	0.842375542
704	0.8412778522
705	0.8400382284
706	0.8382495064
707	0.8367353941
708	0.8349420407
709	0.8335776606
710	0.8322712606
711	0.8315540358
712	0.8299209079
713	0.8289905769
714	0.8272099323
715	0.826087181
716	0.8244953009
717	0.8227617588
718	0.820764685
719	0.8205044802
720	0.8186717287
721	0.8165015017
722	0.8156590331
723	0.8143946003
724	0.812986272
725	0.8121929371
726	0.8103549812
727	0.8089736084
728	0.8072877908
729	0.8061411981
730	0.805808826
731	0.804704304
732	0.8029916122
733	0.8020985778
734	0.800980455
735	0.7999463897
736	0.79875986
737	0.7979960243
738	0.7963966396
739	0.7943433809
740	0.792610746
741	0.7917948447
742	0.7911127632
743	0.790598473
744	0.7896995768
745	0.7883513315
746	0.7860629278
747	0.7850944023
748	0.7838668694
749	0.7831162951
750	0.7823113635
751	0.7813890121
752	0.7801194223
753	0.7793293672
754	0.7780696142
755	0.7769656913
756	0.7754969144
757	0.7732210028
758	0.7711661206
759	0.771010316
760	0.7702137844
761	0.7695730466
762	0.7681969692
763	0.7673875382
764	0.7659523076
765	0.7650611146
766	0.7640613006
767	0.7632714457
768	0.7624299073
769	0.7622838169
770	0.7609488307
771	0.7598965097
772	0.75928519
773	0.7578887204
774	0.756499807
775	0.7554532383
776	0.7548630127
777	0.7529653937
778	0.7513773947
779	0.7511886288
780	0.7499126523
781	0.7484078348
782	0.7462419113
783	0.7456874144
784	0.7448895989
785	0.744561443
786	0.7429310901
787	0.7415801647
788	0.7402794234
789	0.739292326
790	0.7376471754
791	0.7363732376
792	0.7353705209
793	0.7346493342
794	0.733685884
795	0.732642391
796	0.7318440272
797	0.7309893284
798	0.7300722023
799	0.7284266372
800	0.7274324361
801	0.726267452
802	0.7250172186
803	0.7238160418
804	0.7221796725
805	0.7205216442
806	0.7190861226
807	0.7176929325
808	0.7172391166
809	0.7159861725
810	0.7146224413
811	0.7134920031
812	0.7116856617
813	0.7109122046
814	0.7094626313
815	0.7085462981
816	0.7084328641
817	0.7070996589
818	0.7059020454
819	0.705609891
820	0.7044492551
821	0.7043157635
822	0.7036566817
823	0.703527015
824	0.7026067041
825	0.7013308328
826	0.700175234
827	0.6993583732
828	0.6982571034
829	0.6975358208
830	0.6962515539
831	0.6940517734
832	0.6930063403
833	0.6928827109
834	0.69144506
835	0.6902981513
836	0.6887155505
837	0.6881317491
838	0.6868180804
839	0.6856924412
840	0.6841894066
841	0.6840749219
842	0.6834689569
843	0.6819662633
844	0.6807372946
845	0.6797074695
846	0.6790605803
847	0.6779627258
848	0.6777677205
849	0.6758067236
850	0.6744879979
851	0.6740418791
852	0.6729541762
853	0.6725416279
854	0.6709175673
855	0.6701359089
856	0.669269021
857	0.6675446494
858	0.6664866179
859	0.6657879121
860	0.6647724895
861	0.6633238149
862	0.6619129258
863	0.6601664879
864	0.6592394962
865	0.6578892203
866	0.6566556094
867	0.6555471361
868	0.6548927591
869	0.6536605458
870	0.6523418253
871	0.6513356738
872	0.6505338321
873	0.6500593023
874	0.6494723206
875	0.6493292464
876	0.649189754
877	0.6477475169
878	0.6467523669
879	0.6453403434
880	0.6446085268
881	0.6430878795
882	0.6415981317
883	0.6408278486
884	0.6398470232
885	0.6397349843
886	0.6390542757
887	0.6383616842
888	0.6375290048
889	0.6366195702
890	0.6365246205
891	0.6361628319
892	0.6351364694
893	0.6335081089
894	0.6331918671
895	0.6324218318
896	0.6311363298
897	0.6309919601
898	0.6298415899
899	0.6289201486
900	0.6283978469
901	0.6280464165
902	0.6257038829
903	0.62561535
904	0.624490513
905	0.6232319659
906	0.6226923904
907	0.6218534737
908	0.620856473
909	0.6196445311
910	0.6195158242
911	0.6185377121
912	0.6180960967
913	0.6173474359
914	0.6163587577
915	0.616243629
916	0.6155655878
917	0.6144054143
918	0.6138000573
919	0.6127294357
920	0.6115294515
921	0.6107389388
922	0.6098707328
923	0.6093034402
924	0.6085134593
925	0.6079265896
926	0.6078079041
927	0.6071390644
928	0.6061734634
929	0.6050666792
930	0.6044401876
931	0.6027362394
932	0.602643857
933	0.6013628453
934	0.6006479604
935	0.6004144427
936	0.5994555797
937	0.5982814813
938	0.5976148864
939	0.5974765354
940	0.5964316102
941	0.5947077839
942	0.5938660444
943	0.5932870206
944	0.5929991567
945	0.5928809537
946	0.5922500633
947	0.5908459576
948	0.5905332576
949	0.5895969901
950	0.5887532777
951	0.5878737384
952	0.5865430322
953	0.5853066023
954	0.5842619874
955	0.5838082627
956	0.5833271028
957	0.5830701178
958	0.5823156336
959	0.5808930466
960	0.5800097501
961	0.5795505634
962	0.5784593112
963	0.577297513
964	0.5757902992
965	0.5751799074
966	0.5748652945
967	0.5741542838
968	0.5734920579
969	0.5722747737
970	0.5719555595
971	0.5712107919
972	0.5702485113
973	0.5689324392
974	0.5676139345
975	0.5675387105
976	0.5670360585
977	0.5668640743
978	0.5661428932
979	0.5657517941
980	0.56548802
981	0.5654090293
982	0.5648641772
983	0.563875433
984	0.5637978441
985	0.5623077679
986	0.5609108394
987	0.5602689459
988	0.5596757696
989	0.5595675547
990	0.5585442939
991	0.5569878404
992	0.5563233181
993	0.5550842927
994	0.5545169716
995	0.5543597833
996	0.5542073091
997	0.5535971336
998	0.5528892846
999	0.5521943509
